shortName,npxG_adjusted_per90,final_third_passes_adjusted_per90,final_third_receptions_adjusted_per90,ground_duels_won_adjusted_per90,air_duels_won_adjusted_per90,smart_passes_adjusted_per90,goals_adjusted_per90,assists_adjusted_per90,key_passes_adjusted_per90,Minutes
W. Bony,0.4574683706642656,10.055333176359785,17.790204850482695,9.53967506475159,12.375794678596655,1.0313162232163882,0.5156581116081941,0.0,0.25782905580409704,756
\u00c1lvaro Morata,0.7800153247254575,14.92035552797208,25.492064721158325,12.746032360579163,3.598879725339999,0.6747899485012497,0.8247432703904165,0.2999066437783332,0.44985996566749986,2143
Jes\u00e9 Rodr\u00edguez,0.32291995134770884,15.423408845738944,29.053398058252426,11.836569579288028,0.0,1.0760517799352751,0.35868392664509174,0.35868392664509174,1.0760517799352751,618
Joselu,0.7391858976887277,16.066809937514257,21.140539391466127,6.040154111847465,16.187613019751204,0.36240924671084795,0.4832123289477972,0.1208030822369493,0.4832123289477972,1775
Deulofeu,0.30021723826140095,20.671672924488945,29.109090444688512,13.077997156309332,0.0,1.6874835040399139,0.42187087600997847,0.0,0.42187087600997847,441
Pedro,0.4154914082903352,23.442192489541306,29.998059880684213,9.237813142065006,0.09933132410822586,0.9933132410822587,0.39732529643290343,0.19866264821645171,0.39732529643290343,1592
A. S\u00e1nchez,0.4428626693345386,39.374160547164216,48.388924040237264,16.342893816474366,0.9887159960144632,3.3732663393434636,0.4652781157715122,0.29079882235719506,1.8029526986146096,2639
S. Rond\u00f3n,0.5484120572509372,17.738597613655703,26.498398904349873,15.767642323249513,10.14676982838742,0.36499172044559064,0.5109884086238268,0.07299834408911812,0.36499172044559064,2901
T. Hemed,0.6242251365569542,8.503935149311557,22.753772426536326,5.975738213029744,15.399017702807415,0.2298360851165286,0.4596721702330572,0.2298360851165286,0.0,883
Philippe Coutinho,0.3157850518334679,38.45339095673992,36.699376632397396,15.111508025104813,0.404772536386736,2.833407754707152,0.6746208939778933,0.5396967151823147,1.3492417879557865,1134
T. Walcott,0.3598547086909243,17.833727925625954,31.428291016471974,12.571316406588789,0.5847123910041298,0.43853429325309723,0.43853429325309723,0.2923561955020649,0.730890488755162,1288
R. Lukaku,0.7430952424640163,13.90002541040759,23.352042689484755,8.89601626266086,6.449611790429123,0.7228013213411947,0.8896016262660859,0.3892007114914125,0.5560010164163037,2998
D. Sturridge,0.6548533203914777,18.156185895516817,26.166267908244823,12.015123019092012,0.8010082012728007,2.4030246038184018,0.5340054675152005,0.26700273375760025,0.5340054675152005,577
J. Hern\u00e1ndez,0.5409512154220636,14.857747522509312,17.234987126110806,10.935302176566855,1.9017916828811923,0.3565859405402235,0.9508958414405961,0.0,0.8320338612605217,1635
W. Rooney,0.30564482845431834,25.541161939171324,22.638757173356403,3.897514971237183,2.3219238126519386,0.8292585045185494,0.5804809531629846,0.08292585045185495,0.4975551027111296,2328
D. Welbeck,0.5627938853232782,19.9202935668338,28.457562238334,8.181549143521025,2.7271830478403416,0.355719527979175,0.5928658799652916,0.23714635198611667,0.47429270397223333,1270
A. Carroll,0.6274943233170353,12.262283377685467,24.747517362237943,7.35737002661128,17.167196728759656,0.2229506068670085,0.6688518206010255,0.0,0.6688518206010255,806
J. Defoe,0.73086989261568,8.905216631749013,17.49796952203315,4.9994198634380425,0.0,0.4686956121973165,0.6249274829297553,0.15623187073243883,0.31246374146487765,1161
